Trabajador;Cédula;Fecha;Entrada;Salida;Minutos Tarde;Observación
Laura Gomez;26569484;2025-06-17;08:30;16:53;60;Tarde
Maria Sanchez;66826918;2025-07-25;08:02;16:05;32;Tarde
Harrison Rengifo;25389929;2025-01-17;08:13;16:04;43;Tarde
Laura Gomez;89198278;2025-02-06;07:49;15:56;19;Tarde
Ana Torres;72042504;2025-03-05;08:14;16:09;44;Tarde
Harrison Rengifo;14006600;2025-07-20;07:38;15:43;8;Tarde
Carlos Perez;17585484;2025-03-27;08:10;16:10;40;Tarde
Samuel Bernal;93848296;2025-02-24;07:40;15:23;10;Tarde
Laura Gomez;14751866;2025-07-24;08:01;16:12;31;Tarde
David Morales;52851184;2025-05-30;07:54;16:09;24;Tarde
Harrison Rengifo;12510337;2025-02-09;08:21;16:29;51;Tarde
Samuel Bernal;76520636;2025-03-07;08:00;16:18;30;Tarde
Sebastian Garcia;74418278;2025-05-31;07:50;16:12;20;Tarde
Santiago Puerta;72130608;2025-01-20;08:01;15:53;31;Tarde
Cristian Sierra;13863456;2025-01-05;07:55;15:51;25;Tarde
Sebastian Garcia;21616938;2025-01-15;08:16;15:48;46;Tarde
Maria Sanchez;29891230;2025-01-17;08:21;16:11;51;Tarde
Carlos Perez;24279639;2025-01-09;07:44;15:25;14;Tarde
Santiago Puerta;56045213;2025-01-11;08:15;15:57;45;Tarde
David Morales;34931921;2025-06-11;08:20;16:23;50;Tarde
Carlos Perez;36623604;2025-07-09;07:50;15:31;20;Tarde
Laura Gomez;40220038;2025-03-17;08:15;15:57;45;Tarde
Samuel Bernal;39782989;2025-03-15;07:34;15:43;4;Tarde
Cristian Sierra;54126229;2025-02-26;08:27;16:35;57;Tarde
Laura Gomez;72632133;2025-07-21;08:16;15:48;46;Tarde
Cristian Sierra;33034057;2025-06-19;07:40;15:52;10;Tarde
Santiago Puerta;51915381;2025-03-16;07:58;15:41;28;Tarde
Cristian Sierra;49198738;2025-08-07;08:06;16:21;36;Tarde
Laura Gomez;74202748;2025-03-25;08:29;16:47;59;Tarde
Samuel Bernal;70688587;2025-03-11;07:43;15:35;13;Tarde
Ana Torres;68554096;2025-08-20;07:56;15:29;26;Tarde
Maria Sanchez;63684240;2025-08-15;07:47;15:58;17;Tarde
Laura Gomez;22834490;2025-01-17;07:31;15:36;1;Tarde
Santiago Puerta;92457736;2025-02-26;07:31;15:04;1;Tarde
Sebastian Garcia;52292943;2025-05-22;08:18;16:25;48;Tarde
Laura Gomez;47277994;2025-04-18;08:30;16:41;60;Tarde
Samuel Bernal;92200187;2025-06-14;07:33;15:43;3;Tarde
Ana Torres;17969525;2025-01-21;07:52;16:22;22;Tarde
Santiago Puerta;38537253;2025-02-24;07:32;15:26;2;Tarde
Carlos Perez;93402662;2025-01-24;07:52;16:07;22;Tarde
Laura Gomez;57738042;2025-03-01;07:33;15:53;3;Tarde
Sebastian Garcia;93275960;2025-08-03;08:29;16:40;59;Tarde
Carlos Perez;84026553;2025-03-21;07:50;15:26;20;Tarde
Samuel Bernal;27690216;2025-03-13;08:21;16:41;51;Tarde
Cristian Sierra;98961615;2025-04-18;07:35;15:55;5;Tarde
Maria Sanchez;61553023;2025-07-07;08:09;16:01;39;Tarde
Harrison Rengifo;69249731;2025-06-30;08:18;15:50;48;Tarde
Sebastian Garcia;29727761;2025-06-06;07:57;16:03;27;Tarde
Carlos Perez;73721612;2025-05-15;07:43;16:02;13;Tarde
Harrison Rengifo;37388909;2025-07-09;07:52;15:26;22;Tarde
David Morales;87428089;2025-07-12;08:17;16:03;47;Tarde
Samuel Bernal;18790188;2025-04-23;07:36;15:56;6;Tarde
Ana Torres;78953331;2025-06-16;08:12;16:21;42;Tarde
Cristian Sierra;39727017;2025-08-03;08:10;16:08;40;Tarde
Samuel Bernal;61773177;2025-05-02;07:51;16:08;21;Tarde
Carlos Perez;21663404;2025-08-21;08:25;16:11;55;Tarde
Sebastian Garcia;32908210;2025-01-24;07:58;16:26;28;Tarde
David Morales;83655740;2025-04-13;07:45;15:21;15;Tarde
Ana Torres;93812177;2025-03-22;07:35;15:13;5;Tarde
David Morales;19234136;2025-08-14;08:07;16:00;37;Tarde
Harrison Rengifo;69278173;2025-03-09;08:27;16:57;57;Tarde
Samuel Bernal;27678248;2025-07-29;07:50;15:47;20;Tarde
Sebastian Garcia;57312031;2025-01-07;08:04;15:46;34;Tarde
Maria Sanchez;78498316;2025-04-14;07:46;15:21;16;Tarde
Sebastian Garcia;79023646;2025-08-11;08:27;16:25;57;Tarde
Maria Sanchez;87745946;2025-01-06;08:21;16:43;51;Tarde
David Morales;56059904;2025-04-26;08:25;15:55;55;Tarde
Maria Sanchez;73698513;2025-02-01;07:52;15:28;22;Tarde
Carlos Perez;26282185;2025-05-04;07:36;15:34;6;Tarde
Cristian Sierra;97213143;2025-02-25;07:41;16:01;11;Tarde
Sebastian Garcia;68594615;2025-02-26;07:32;15:22;2;Tarde
Cristian Sierra;11033157;2025-08-11;08:16;16:41;46;Tarde
Sebastian Garcia;99341722;2025-05-29;08:27;16:26;57;Tarde
David Morales;88988307;2025-02-13;07:41;15:31;11;Tarde
Sebastian Garcia;53832227;2025-06-04;07:49;16:11;19;Tarde
Maria Sanchez;82893855;2025-01-31;07:47;15:59;17;Tarde
David Morales;63841375;2025-08-02;08:26;16:10;56;Tarde
Santiago Puerta;84609304;2025-03-09;08:21;16:28;51;Tarde
Laura Gomez;64998030;2025-06-26;08:29;16:50;59;Tarde
Maria Sanchez;61471321;2025-03-13;07:35;15:39;5;Tarde
David Morales;71196485;2025-06-26;07:46;15:24;16;Tarde
Samuel Bernal;89027215;2025-06-13;08:06;16:22;36;Tarde
Santiago Puerta;11744781;2025-05-27;07:38;15:50;8;Tarde
Samuel Bernal;90041095;2025-03-01;08:03;15:59;33;Tarde
Carlos Perez;44572847;2025-05-09;07:33;15:56;3;Tarde
Ana Torres;32010707;2025-01-13;07:46;15:40;16;Tarde
Santiago Puerta;91177653;2025-06-05;08:19;16:44;49;Tarde
Santiago Puerta;44508152;2025-04-11;07:40;15:30;10;Tarde
Harrison Rengifo;10641631;2025-06-22;08:01;15:43;31;Tarde
Santiago Puerta;19042888;2025-02-22;08:19;16:13;49;Tarde
Sebastian Garcia;52091619;2025-02-17;08:07;16:26;37;Tarde
David Morales;77435404;2025-02-08;07:32;15:53;2;Tarde
Maria Sanchez;98547675;2025-02-21;07:40;15:25;10;Tarde
Santiago Puerta;66927034;2025-03-20;07:56;15:49;26;Tarde
Maria Sanchez;98457205;2025-08-25;08:07;16:07;37;Tarde
Harrison Rengifo;81595073;2025-05-11;08:18;16:31;48;Tarde
Carlos Perez;17133791;2025-06-18;07:34;15:21;4;Tarde
Carlos Perez;43757521;2025-04-15;07:54;15:43;24;Tarde
Laura Gomez;55316194;2025-03-30;07:54;15:39;24;Tarde
Sebastian Garcia;37909510;2025-02-03;07:53;15:30;23;Tarde
Santiago Puerta;72413948;2025-07-04;07:45;16:03;15;Tarde
David Morales;96503058;2025-07-09;08:16;16:27;46;Tarde
Santiago Puerta;86918109;2025-01-29;07:57;15:32;27;Tarde
David Morales;49984178;2025-08-06;07:59;16:24;29;Tarde
Maria Sanchez;36310918;2025-04-06;07:49;15:57;19;Tarde
Santiago Puerta;61639863;2025-08-26;08:16;16:32;46;Tarde
Santiago Puerta;61950947;2025-07-26;08:02;16:32;32;Tarde
Santiago Puerta;30802064;2025-04-29;07:54;16:15;24;Tarde
Samuel Bernal;45334551;2025-01-24;07:31;15:58;1;Tarde
Sebastian Garcia;84087617;2025-04-29;07:42;15:39;12;Tarde
Cristian Sierra;85246412;2025-07-03;07:59;16:16;29;Tarde
Harrison Rengifo;15677458;2025-06-05;08:23;16:39;53;Tarde
Maria Sanchez;71869055;2025-07-16;07:34;15:20;4;Tarde
David Morales;66558096;2025-02-25;07:58;15:46;28;Tarde
Carlos Perez;59176451;2025-01-12;07:48;15:21;18;Tarde
Harrison Rengifo;14331595;2025-08-18;07:57;15:59;27;Tarde
Santiago Puerta;70955390;2025-02-21;07:47;15:52;17;Tarde
Samuel Bernal;80963423;2025-04-18;08:09;15:45;39;Tarde
Carlos Perez;62316879;2025-02-22;08:30;16:03;60;Tarde
Carlos Perez;37276170;2025-05-09;07:30;15:38;0;-
Cristian Sierra;99626879;2025-07-22;08:28;16:14;58;Tarde
Samuel Bernal;27174328;2025-01-01;07:31;15:57;1;Tarde
Harrison Rengifo;26429134;2025-04-15;08:08;15:48;38;Tarde
David Morales;69975508;2025-03-31;07:35;15:24;5;Tarde
Laura Gomez;16693709;2025-05-05;08:04;15:54;34;Tarde
Cristian Sierra;79359307;2025-01-31;08:03;16:09;33;Tarde
Carlos Perez;20797150;2025-08-12;07:30;15:23;0;-
Laura Gomez;94814348;2025-06-23;07:58;16:16;28;Tarde
Sebastian Garcia;90047833;2025-07-12;08:01;16:30;31;Tarde
David Morales;75390025;2025-07-13;07:47;15:28;17;Tarde
Santiago Puerta;55061167;2025-01-15;07:47;16:03;17;Tarde
Ana Torres;35212789;2025-04-10;07:43;15:36;13;Tarde
Sebastian Garcia;47589935;2025-06-11;08:21;16:44;51;Tarde
David Morales;79982576;2025-02-20;07:54;16:05;24;Tarde
Maria Sanchez;22256550;2025-06-14;08:19;16:37;49;Tarde
David Morales;44554563;2025-04-18;08:20;16:31;50;Tarde
Cristian Sierra;12939525;2025-08-07;08:13;16:02;43;Tarde
Santiago Puerta;54552196;2025-08-06;07:35;15:48;5;Tarde
Ana Torres;36630482;2025-06-23;07:58;15:44;28;Tarde
Samuel Bernal;28809272;2025-04-16;08:00;16:16;30;Tarde
Carlos Perez;79429722;2025-05-14;08:08;16:29;38;Tarde
Cristian Sierra;95785214;2025-03-31;07:40;15:18;10;Tarde
Harrison Rengifo;44599015;2025-07-16;08:09;16:02;39;Tarde
Carlos Perez;92688228;2025-07-27;07:43;15:49;13;Tarde
Maria Sanchez;81357859;2025-08-11;07:34;16:04;4;Tarde
Santiago Puerta;18065051;2025-08-01;08:27;16:04;57;Tarde
David Morales;87242675;2025-03-05;07:49;15:53;19;Tarde
Laura Gomez;64431578;2025-05-29;08:09;16:22;39;Tarde
Maria Sanchez;98485225;2025-06-19;08:15;15:58;45;Tarde
Samuel Bernal;66585606;2025-03-16;08:23;16:49;53;Tarde
Cristian Sierra;93591069;2025-06-19;08:22;15:54;52;Tarde
David Morales;92975486;2025-02-10;08:21;15:58;51;Tarde
Santiago Puerta;72044515;2025-06-02;07:41;15:58;11;Tarde
Cristian Sierra;90816032;2025-03-27;07:51;15:41;21;Tarde
Harrison Rengifo;68122901;2025-02-14;08:08;16:08;38;Tarde
Ana Torres;98435282;2025-04-23;07:57;15:57;27;Tarde
Santiago Puerta;78664001;2025-02-01;08:12;16:02;42;Tarde
Carlos Perez;68633591;2025-02-22;08:21;16:08;51;Tarde
Cristian Sierra;32358756;2025-08-20;08:10;15:58;40;Tarde
Maria Sanchez;41376032;2025-08-15;07:50;16:07;20;Tarde
Santiago Puerta;34793140;2025-05-13;07:37;15:26;7;Tarde
Cristian Sierra;61420672;2025-07-08;08:10;16:21;40;Tarde
Maria Sanchez;94221404;2025-07-24;07:33;15:13;3;Tarde
Maria Sanchez;32868427;2025-02-19;07:50;15:44;20;Tarde
Carlos Perez;80301777;2025-05-24;08:14;16:07;44;Tarde
Cristian Sierra;87849231;2025-01-18;08:14;15:50;44;Tarde
Sebastian Garcia;51426939;2025-07-03;08:08;16:22;38;Tarde
Carlos Perez;82444459;2025-02-05;07:33;15:10;3;Tarde
Ana Torres;65813573;2025-06-17;08:12;15:46;42;Tarde
Santiago Puerta;46564162;2025-04-09;08:24;15:55;54;Tarde
Cristian Sierra;39813144;2025-02-26;08:21;16:13;51;Tarde
Sebastian Garcia;36743749;2025-04-29;07:42;15:25;12;Tarde
David Morales;33588169;2025-07-24;08:28;16:02;58;Tarde
Sebastian Garcia;31702751;2025-04-30;07:44;16:03;14;Tarde
David Morales;16446406;2025-01-24;08:27;16:55;57;Tarde
Harrison Rengifo;83066492;2025-03-05;08:18;16:37;48;Tarde
Cristian Sierra;44201834;2025-01-15;07:38;15:38;8;Tarde
Harrison Rengifo;55444748;2025-03-26;08:07;15:43;37;Tarde
David Morales;47386331;2025-04-10;08:27;16:12;57;Tarde
Ana Torres;19689502;2025-05-16;08:06;15:45;36;Tarde
Cristian Sierra;99660486;2025-01-20;08:17;15:52;47;Tarde
Carlos Perez;85654917;2025-06-27;08:30;16:15;60;Tarde
Cristian Sierra;34520246;2025-06-23;07:57;15:36;27;Tarde
David Morales;78120541;2025-01-19;07:55;16:02;25;Tarde
Ana Torres;82559241;2025-06-30;07:49;15:19;19;Tarde
Cristian Sierra;27356847;2025-07-20;08:00;15:31;30;Tarde
Carlos Perez;46467967;2025-08-19;08:05;16:14;35;Tarde
David Morales;62850187;2025-01-13;07:31;15:10;1;Tarde
David Morales;20202337;2025-04-12;07:32;15:05;2;Tarde
Santiago Puerta;87887940;2025-03-27;07:43;15:36;13;Tarde
Santiago Puerta;93943845;2025-07-01;07:49;15:53;19;Tarde
Samuel Bernal;49890038;2025-05-18;08:00;15:51;30;Tarde
Harrison Rengifo;50428231;2025-05-05;08:10;16:14;40;Tarde
David Morales;42409845;2025-06-29;08:04;16:10;34;Tarde
Samuel Bernal;18609145;2025-01-08;07:46;16:05;16;Tarde
Samuel Bernal;25067914;2025-07-25;08:25;16:33;55;Tarde
Samuel Bernal;71756312;2025-02-21;08:23;16:34;53;Tarde
Cristian Sierra;39837712;2025-03-03;07:46;15:32;16;Tarde
Ana Torres;73184585;2025-07-27;07:56;15:43;26;Tarde
Ana Torres;23760454;2025-08-15;07:52;15:59;22;Tarde
Ana Torres;48601756;2025-08-20;08:19;15:54;49;Tarde
Laura Gomez;19509560;2025-01-09;08:06;16:27;36;Tarde
Ana Torres;92072814;2025-04-04;07:46;15:56;16;Tarde
Harrison Rengifo;16736294;2025-03-30;08:09;15:44;39;Tarde
Carlos Perez;46598341;2025-07-04;07:54;16:19;24;Tarde
Samuel Bernal;48245530;2025-01-01;08:05;16:05;35;Tarde
Laura Gomez;11599411;2025-04-21;07:34;15:29;4;Tarde
David Morales;91885520;2025-01-15;08:18;16:31;48;Tarde
Laura Gomez;70619062;2025-04-30;08:14;16:35;44;Tarde
Carlos Perez;13115057;2025-08-20;08:00;16:17;30;Tarde
Laura Gomez;54926585;2025-07-21;07:54;16:02;24;Tarde
Ana Torres;72373565;2025-06-25;08:17;15:57;47;Tarde
Samuel Bernal;20954286;2025-04-01;07:58;15:34;28;Tarde
Cristian Sierra;84210279;2025-07-19;08:28;16:52;58;Tarde
Laura Gomez;97684813;2025-05-22;07:33;15:30;3;Tarde
Harrison Rengifo;30771045;2025-08-14;08:01;15:31;31;Tarde
Sebastian Garcia;54211711;2025-05-05;07:57;16:26;27;Tarde
Carlos Perez;39646827;2025-01-25;07:58;16:12;28;Tarde
Ana Torres;29017321;2025-02-04;07:50;15:59;20;Tarde
Maria Sanchez;86165822;2025-04-22;08:05;16:31;35;Tarde
Samuel Bernal;61853618;2025-07-11;08:27;16:36;57;Tarde
Samuel Bernal;44651372;2025-03-07;07:32;15:27;2;Tarde
Laura Gomez;25766609;2025-08-09;07:46;16:08;16;Tarde
Harrison Rengifo;68957409;2025-02-11;07:32;15:50;2;Tarde
Santiago Puerta;37848864;2025-08-23;07:38;15:22;8;Tarde
Samuel Bernal;72156090;2025-04-01;07:47;15:33;17;Tarde
Sebastian Garcia;23151757;2025-07-23;07:39;15:53;9;Tarde
Carlos Perez;98795830;2025-04-18;07:56;15:43;26;Tarde
Ana Torres;59596048;2025-07-16;07:42;15:38;12;Tarde
Maria Sanchez;14604234;2025-05-16;08:23;16:52;53;Tarde
David Morales;13578867;2025-05-04;08:02;16:19;32;Tarde
David Morales;61080456;2025-02-04;08:16;16:05;46;Tarde
Cristian Sierra;21027481;2025-05-31;08:20;16:47;50;Tarde
Cristian Sierra;87178559;2025-07-22;07:58;15:56;28;Tarde
Samuel Bernal;36724538;2025-03-13;07:41;15:58;11;Tarde
Harrison Rengifo;92496212;2025-01-18;08:12;16:32;42;Tarde
Samuel Bernal;27981085;2025-08-12;07:51;15:59;21;Tarde
Samuel Bernal;51650155;2025-04-21;07:55;16:08;25;Tarde
Sebastian Garcia;43253561;2025-07-14;08:19;15:58;49;Tarde
Laura Gomez;82749070;2025-01-15;08:11;16:01;41;Tarde
Maria Sanchez;56280026;2025-05-11;08:08;16:09;38;Tarde
Maria Sanchez;73616335;2025-06-01;08:08;16:34;38;Tarde
Samuel Bernal;71673164;2025-07-15;07:57;16:17;27;Tarde
Santiago Puerta;24774913;2025-03-21;07:55;16:25;25;Tarde
Maria Sanchez;68077435;2025-07-05;07:56;15:30;26;Tarde
Ana Torres;95425543;2025-01-28;08:23;16:39;53;Tarde
Ana Torres;22142155;2025-05-05;07:41;15:24;11;Tarde
Santiago Puerta;72235793;2025-01-13;07:49;15:26;19;Tarde
Laura Gomez;60749636;2025-07-06;07:43;15:24;13;Tarde
Ana Torres;64003995;2025-04-15;07:46;16:06;16;Tarde
Cristian Sierra;26934845;2025-05-02;07:55;15:53;25;Tarde
David Morales;30110846;2025-07-24;08:17;16:28;47;Tarde
David Morales;27402994;2025-06-29;08:03;15:36;33;Tarde
Santiago Puerta;98276483;2025-06-06;07:59;16:00;29;Tarde
Samuel Bernal;79136224;2025-06-16;07:48;15:44;18;Tarde
Laura Gomez;69372518;2025-03-06;07:51;16:14;21;Tarde
Cristian Sierra;41422134;2025-04-03;08:02;16:01;32;Tarde
Ana Torres;71226861;2025-01-23;07:41;15:14;11;Tarde
Maria Sanchez;10637977;2025-08-08;08:11;16:10;41;Tarde
Ana Torres;53034747;2025-03-31;07:36;15:48;6;Tarde
Santiago Puerta;83654959;2025-02-21;08:08;15:47;38;Tarde
Maria Sanchez;32007817;2025-06-08;07:30;15:24;0;-
Samuel Bernal;92632422;2025-04-01;07:53;15:24;23;Tarde
Ana Torres;99169466;2025-06-25;08:28;16:32;58;Tarde
Carlos Perez;52668092;2025-05-27;08:28;16:11;58;Tarde
Sebastian Garcia;79501732;2025-02-28;08:12;16:19;42;Tarde
Cristian Sierra;47212755;2025-08-20;07:39;15:21;9;Tarde
Cristian Sierra;56078302;2025-03-25;07:47;15:37;17;Tarde
Ana Torres;81011311;2025-05-15;08:06;16:21;36;Tarde
Cristian Sierra;30731584;2025-03-07;07:41;15:48;11;Tarde
Santiago Puerta;99802489;2025-02-05;08:07;16:13;37;Tarde
Cristian Sierra;41811531;2025-03-16;08:28;16:32;58;Tarde
Cristian Sierra;63935187;2025-05-02;07:37;15:19;7;Tarde
Laura Gomez;92623656;2025-08-26;08:06;15:55;36;Tarde
Samuel Bernal;31294673;2025-02-12;07:38;15:45;8;Tarde
Samuel Bernal;46278397;2025-03-25;07:52;15:38;22;Tarde
Cristian Sierra;78302644;2025-01-21;08:01;16:29;31;Tarde
David Morales;25774746;2025-08-27;07:52;16:22;22;Tarde
Sebastian Garcia;31522187;2025-05-04;07:54;16:05;24;Tarde
Sebastian Garcia;28529419;2025-02-23;07:39;16:09;9;Tarde
Harrison Rengifo;73830031;2025-07-03;07:59;16:16;29;Tarde
Carlos Perez;83199426;2025-07-24;07:45;15:22;15;Tarde
Maria Sanchez;83804661;2025-01-17;08:03;16:11;33;Tarde
Harrison Rengifo;98828861;2025-04-26;07:34;15:37;4;Tarde
Harrison Rengifo;88199513;2025-05-12;08:20;16:20;50;Tarde
Santiago Puerta;39152071;2025-04-09;08:19;16:00;49;Tarde
Harrison Rengifo;11473064;2025-02-17;07:42;15:49;12;Tarde
Samuel Bernal;24204970;2025-03-03;07:58;15:29;28;Tarde
Samuel Bernal;72501677;2025-08-26;07:58;15:56;28;Tarde
Ana Torres;33956382;2025-04-29;08:18;16:42;48;Tarde
Carlos Perez;27392516;2025-08-02;07:50;16:18;20;Tarde
Santiago Puerta;11347785;2025-08-10;08:20;16:34;50;Tarde
Ana Torres;71713767;2025-01-07;07:33;15:35;3;Tarde
Cristian Sierra;14805475;2025-02-10;07:57;16:06;27;Tarde
Maria Sanchez;39631359;2025-01-05;08:16;16:23;46;Tarde
Cristian Sierra;57930031;2025-01-02;07:56;16:01;26;Tarde
Maria Sanchez;97779399;2025-05-26;08:06;15:56;36;Tarde
Santiago Puerta;54098543;2025-02-23;08:16;15:48;46;Tarde
Carlos Perez;55522199;2025-05-12;08:18;16:48;48;Tarde
Carlos Perez;23515602;2025-02-06;07:44;15:42;14;Tarde
Cristian Sierra;29923159;2025-08-04;07:43;15:40;13;Tarde
Sebastian Garcia;32465022;2025-04-28;07:45;15:34;15;Tarde
David Morales;31056876;2025-02-28;08:06;15:36;36;Tarde
Harrison Rengifo;87934742;2025-07-26;07:51;16:14;21;Tarde
Santiago Puerta;45026213;2025-01-10;07:35;15:51;5;Tarde
Carlos Perez;94463798;2025-08-04;07:56;16:22;26;Tarde
Carlos Perez;96945772;2025-04-06;07:32;15:36;2;Tarde
Laura Gomez;78356107;2025-06-23;08:04;16:00;34;Tarde
Cristian Sierra;13209802;2025-05-08;07:50;15:26;20;Tarde
Cristian Sierra;90591909;2025-03-06;07:33;15:33;3;Tarde
Maria Sanchez;11310230;2025-01-09;08:08;16:14;38;Tarde
Ana Torres;29127466;2025-04-18;08:11;15:58;41;Tarde
Sebastian Garcia;27433642;2025-02-11;08:05;16:20;35;Tarde
Santiago Puerta;95765862;2025-08-28;08:20;16:28;50;Tarde
Laura Gomez;13654330;2025-06-20;08:24;15:57;54;Tarde
Harrison Rengifo;37287005;2025-02-02;08:30;16:48;60;Tarde
Samuel Bernal;86660702;2025-06-21;08:21;16:22;51;Tarde
Maria Sanchez;32962855;2025-01-22;07:43;15:52;13;Tarde
Maria Sanchez;79173393;2025-03-17;07:30;15:26;0;-
Maria Sanchez;25910140;2025-03-17;07:34;15:54;4;Tarde
Sebastian Garcia;87770746;2025-05-30;07:48;15:56;18;Tarde
Harrison Rengifo;77045455;2025-02-26;07:58;16:28;28;Tarde
Harrison Rengifo;20117374;2025-06-30;07:43;15:37;13;Tarde
Ana Torres;54123189;2025-05-22;08:20;16:47;50;Tarde
Sebastian Garcia;32000942;2025-04-07;08:19;15:54;49;Tarde
Cristian Sierra;27072406;2025-01-28;07:52;15:52;22;Tarde
Maria Sanchez;36608818;2025-08-12;08:17;16:05;47;Tarde
Cristian Sierra;30411052;2025-01-22;07:47;16:05;17;Tarde
David Morales;57982692;2025-04-06;08:23;16:08;53;Tarde
Harrison Rengifo;94610316;2025-05-12;07:32;15:31;2;Tarde
Samuel Bernal;74577964;2025-06-02;08:28;16:02;58;Tarde
Santiago Puerta;98762441;2025-06-05;08:11;16:07;41;Tarde
Samuel Bernal;99825347;2025-04-09;08:16;16:08;46;Tarde
Carlos Perez;38380956;2025-02-06;07:37;16:03;7;Tarde
Carlos Perez;36306304;2025-07-16;08:05;16:20;35;Tarde
Sebastian Garcia;58105938;2025-01-21;07:54;16:07;24;Tarde
Carlos Perez;91361867;2025-03-03;07:31;15:09;1;Tarde
Harrison Rengifo;29221877;2025-08-22;08:07;15:57;37;Tarde
Carlos Perez;53679593;2025-03-11;07:40;15:58;10;Tarde
Sebastian Garcia;46774516;2025-03-14;08:29;16:25;59;Tarde
Santiago Puerta;18916311;2025-07-21;07:40;16:01;10;Tarde
Carlos Perez;56478163;2025-06-28;07:55;16:25;25;Tarde
Harrison Rengifo;40966309;2025-01-18;08:28;16:11;58;Tarde
Cristian Sierra;73190569;2025-06-15;07:46;15:37;16;Tarde
Maria Sanchez;77499321;2025-06-06;07:46;15:54;16;Tarde
Harrison Rengifo;43657352;2025-02-27;08:22;16:25;52;Tarde
Laura Gomez;64321983;2025-06-25;07:35;15:23;5;Tarde
Cristian Sierra;40803673;2025-07-27;07:45;15:23;15;Tarde
David Morales;68071740;2025-04-15;08:22;16:10;52;Tarde
Laura Gomez;70557021;2025-07-05;07:34;15:06;4;Tarde
Maria Sanchez;47801430;2025-07-18;07:45;16:01;15;Tarde
Ana Torres;81972065;2025-05-03;08:05;15:48;35;Tarde
Carlos Perez;40067923;2025-06-10;07:39;15:59;9;Tarde
Maria Sanchez;87441879;2025-04-07;07:39;15:32;9;Tarde
Santiago Puerta;24494295;2025-02-04;08:23;15:59;53;Tarde
Cristian Sierra;67357567;2025-07-30;08:22;15:58;52;Tarde
Santiago Puerta;18847379;2025-07-21;07:41;15:54;11;Tarde
Harrison Rengifo;75958337;2025-01-10;07:50;16:07;20;Tarde
Laura Gomez;77106816;2025-07-20;08:21;15:53;51;Tarde
Maria Sanchez;87524798;2025-01-30;07:39;16:08;9;Tarde
Cristian Sierra;59666717;2025-04-18;08:18;16:26;48;Tarde
Harrison Rengifo;58166167;2025-08-12;07:57;16:14;27;Tarde
Maria Sanchez;32023043;2025-08-22;08:30;16:16;60;Tarde
Santiago Puerta;23136239;2025-08-21;07:53;15:30;23;Tarde
Cristian Sierra;26464502;2025-08-03;08:29;16:33;59;Tarde
Santiago Puerta;45268982;2025-04-30;08:05;16:32;35;Tarde
Sebastian Garcia;22866318;2025-04-12;08:25;16:54;55;Tarde
Maria Sanchez;37961312;2025-01-18;08:21;15:57;51;Tarde
Laura Gomez;17367234;2025-01-29;08:23;16:16;53;Tarde
David Morales;67774594;2025-05-31;08:09;16:05;39;Tarde
Ana Torres;66401872;2025-02-06;08:07;15:41;37;Tarde
Laura Gomez;14469765;2025-08-05;07:37;15:23;7;Tarde
Cristian Sierra;98805941;2025-04-27;08:01;15:41;31;Tarde
Santiago Puerta;39502349;2025-04-22;07:54;15:35;24;Tarde
Harrison Rengifo;24809648;2025-03-12;07:37;15:13;7;Tarde
Carlos Perez;79349621;2025-04-15;08:28;16:03;58;Tarde
Sebastian Garcia;90483206;2025-02-12;07:56;16:17;26;Tarde
David Morales;46990401;2025-03-09;08:04;16:04;34;Tarde
Laura Gomez;11004867;2025-08-03;08:23;16:18;53;Tarde
David Morales;55098910;2025-04-03;07:46;15:45;16;Tarde
David Morales;67433518;2025-01-31;08:25;16:48;55;Tarde
Harrison Rengifo;33577761;2025-07-30;08:18;16:38;48;Tarde
Laura Gomez;11984835;2025-02-23;07:50;16:17;20;Tarde
Laura Gomez;55711287;2025-05-10;08:16;16:44;46;Tarde
Carlos Perez;63959548;2025-02-28;07:55;16:19;25;Tarde
Sebastian Garcia;91513351;2025-07-25;08:05;16:21;35;Tarde
Maria Sanchez;14215519;2025-03-14;07:46;15:45;16;Tarde
Santiago Puerta;21539141;2025-05-21;07:30;15:19;0;-
Harrison Rengifo;96936929;2025-04-26;08:28;16:27;58;Tarde
Maria Sanchez;46328799;2025-06-18;08:11;16:06;41;Tarde
Carlos Perez;85602749;2025-08-28;07:57;16:18;27;Tarde
David Morales;14100700;2025-02-02;08:04;16:31;34;Tarde
Laura Gomez;18287128;2025-03-20;07:33;15:34;3;Tarde
Harrison Rengifo;21248027;2025-07-02;08:12;16:09;42;Tarde
David Morales;52426695;2025-07-22;07:31;15:21;1;Tarde
Laura Gomez;44760851;2025-01-13;07:57;15:53;27;Tarde
Samuel Bernal;89882214;2025-06-23;08:08;16:24;38;Tarde
Santiago Puerta;83136854;2025-05-28;08:08;16:07;38;Tarde
Carlos Perez;26991499;2025-05-02;08:22;16:48;52;Tarde
David Morales;17128532;2025-05-12;07:43;15:40;13;Tarde
Sebastian Garcia;59550765;2025-05-29;07:39;16:08;9;Tarde
Ana Torres;31197956;2025-07-18;08:22;16:20;52;Tarde
Maria Sanchez;93908984;2025-02-15;08:10;16:11;40;Tarde
Ana Torres;76817573;2025-01-12;07:39;15:22;9;Tarde
Santiago Puerta;74173310;2025-01-24;07:53;15:41;23;Tarde
David Morales;98702514;2025-03-05;08:22;16:34;52;Tarde
